"hour","district","rev5","rev1","rev2","rev3","rev4"
"7am","126",510.9,1084.18,915.84,1154.61,264.07
"7am","127",8326.72,10670.87,12309.9,14795.76,9243.04
"7am","128",12602.77,11405.15,17839.74,14288.65,5693.46
"7am","129",6485.3,5538.8,6826.9,10048.35,5096.12
"7am","130",5036.57,2615.44,6393.91,7828.77,5130.38
"7am","131",7302.52,1918.71,5789.12,9620.14,5801.44
"7am","132",7960.11,3198.19,10150.96,10398.43,5206.09
"7am","133",710.74,214.62,1228.8,1268.52,799.19
"7am","134",2126.17,583.42,2015.33,3463.44,2236.32
"7am","135",430.68,700.23,812.53,377.7,289.71
"7am","136",9562.05,5820.15,11224.65,12407.79,6032.7
"7am","137",4672.22,944.74,2969.29,4830.12,3689.29
"7am","138",3833.69,401.48,1970.88,4185.55,3853.62
"7am","139",1047.02,185.8,608.51,1107.57,893.85
"7am","140",1440.65,456.8,949.45,1399.94,844.38
"7am","141",145.96,58.37,86.66,223.9,289.14
"7am","301",4322.76,5669.03,6432.78,7396.33,4021.65
"7am","302",9251.04,6026.34,10450.72,18579.54,12205.96
"7am","303",4135.8,3727.71,6173.51,5538.37,1632.45
"7am","304",3092.35,1711.97,2068.6,4680.18,5726.03
"7am","305",651.4,582.19,1140.75,822.77,228.36
"7am","306",2925.07,1650.75,3370.16,4068.51,1993.58
"7am","307",10807.4,6658,17117.77,18888.1,6902.02
"7am","308",13903.51,5374.45,15119.88,17442.68,9499.62
"7am","309",6915.42,1973.45,7107.17,12063.65,9860.88
"7am","310",3771.47,962.05,3703.45,6255.57,5506.1
"7am","401",3131.32,1955.18,5610.04,6076.38,1896.92
"7am","402",5190.88,1640.39,7322.96,7262.01,5047.47
"7am","403",17965.71,11193.14,19470.71,16388.57,7020.16
"7am","404",8710.15,4319.7,11211.17,12886.43,7322.46
"7am","405",8464.57,3240.74,8946.58,11188.97,5776.81
"7am","406",14292.12,10192.55,18506.85,19299.92,7609.65
"7am","407",4630.43,2568.95,5321.39,6792.04,3365.72
"7am","408",4785.8,1681.29,6426.31,5176.27,2442.08
"7am","501",1556.07,968.53,2092.43,1999.47,676.25
"7am","502",1373.29,1101.65,2298.62,1809.28,514.06
"7am","511",10645.48,11116.43,21621.38,20583.3,6569.46
"7am","521",4403.59,1411.19,5077.8,7008.56,4048.82
"7am","522",1481.82,681.58,2427.11,3501.75,2012.3
"7am","523",3733.38,2222.86,5957.85,6106.4,2636.18
"7am","524",3798.44,1975.52,4775.02,5705.98,3711.16
"7am","525",744.5,602.84,1575.19,1037.72,725.14
"7am","531",4071.66,1835.38,6653.94,8658.57,4240.36
"7am","532",5107.52,2100.48,5713.03,7956.87,4396.42
"7am","533",5873.62,6433.32,9154.16,7408,2969.27
"7am","541",1068.42,686.82,1070.64,1179.49,554.98
"7am","542",2711.92,1450.18,3526.8,5479.11,2951.33
"7am","543",2909.77,724.52,2891.82,4241.85,3491.54
"7am","544",5302.02,3079.37,9582.04,11306.62,4249.52
"7am","545",1724.37,1033.57,2727.4,2841.97,987.52
"7am","546",7871.62,4517.05,10724.02,8790.62,3190.91
"7am","547",1501.33,1704.53,1634.68,1289.84,325.43
"7am","551",1800.75,1547.01,3464.56,2726.64,1131.24
"7am","561",1658.82,1803.71,2620.46,2209.36,964.37
"7am","562",5470.83,6554.28,9741.4,9215.23,2593.85
"7am","563",469.39,560.21,667.59,461.96,240.83
"7am","564",820.42,462.22,1021.77,1432.84,538.52
"7am","571",2093.56,1579.27,4494.15,4509.94,1363.24
